@RELATION svmModelTest
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Silence,Speech,Music,Activity}

@DATA
0.194462,0.003789,3.093192,0.305768,0.265507,1.658577,0.059264,0.393437,-26.573704,0.930240,0.055415,0.219000,0.049873,0.132494,0.089963,0.132535,0.079453,0.055900,0.039477,-0.000506,-0.069412,0.007234,0.003089,0.047478,0.005742,0.007473,0.003678,0.058651,0.002156,0.003331,0.005684,0.057130,0.003680,0.026348,0.064015,0.001686,0.241382,0.079428,0.069657,0.567167,0.218212,0.135753,6.231292,0.365954,0.105441,0.202319,0.147489,0.111526,0.112829,0.204303,0.193165,0.126060,0.069467,0.122844,0.148484,0.004348,0.001884,0.030132,0.003959,0.004930,0.002763,0.042123,0.001486,0.001697,0.003373,0.037601,0.002623,0.010633,Silence
0.197591,0.010166,3.154840,0.330510,0.285210,1.661860,0.004332,0.398062,-23.936211,0.934525,0.086701,0.243371,0.065433,0.111076,0.018468,0.036088,-0.021056,0.028612,0.032131,0.060613,-0.005428,0.005733,0.002980,0.034291,0.003961,0.007911,0.004829,0.057997,0.001764,0.003127,0.006496,0.065290,0.002788,0.026635,0.053719,0.004318,0.110289,0.014938,0.007130,0.546409,0.002437,0.160467,0.299887,0.179235,0.115881,0.174025,0.175327,0.101823,0.154564,0.134279,0.161380,0.150113,0.113641,0.113967,0.112807,0.003473,0.002210,0.020941,0.002674,0.005981,0.003130,0.038122,0.001271,0.001853,0.004287,0.039063,0.002060,0.008048,Silence
0.217120,0.048130,3.190384,0.334463,0.286047,1.810837,0.003132,0.455580,-21.604160,1.007749,0.084088,0.198779,0.065509,0.058787,0.046031,0.071800,0.030358,0.011161,0.032412,0.054665,0.044779,0.007700,0.003318,0.040077,0.005376,0.010266,0.005233,0.083460,0.001842,0.003860,0.005707,0.046752,0.003349,0.028875,0.041468,0.015783,0.068883,0.015212,0.004825,0.417477,0.001956,0.132584,0.170709,0.147584,0.154685,0.171530,0.110790,0.145102,0.153985,0.147667,0.124740,0.147109,0.098441,0.131135,0.142505,0.004901,0.002053,0.023869,0.003205,0.006493,0.003059,0.043923,0.001127,0.002400,0.003488,0.032716,0.002176,0.008823,Silence
0.098185,0.021137,3.132380,0.175271,0.180922,0.877405,0.010628,0.120500,-23.906271,2.024060,-1.605312,-0.243988,0.229044,0.057654,0.067733,0.015594,0.006271,-0.279122,-0.014474,-0.186787,-0.285689,0.018032,0.015781,0.015149,0.011065,0.020953,0.011246,0.013187,0.028364,0.006829,0.018997,0.018830,0.005309,0.020550,0.020636,0.022441,0.137205,0.021956,0.014082,0.270298,0.006579,0.019663,0.695528,0.505890,0.313964,0.252394,0.316950,0.281243,0.219600,0.245895,0.268732,0.235525,0.301279,0.297625,0.254338,0.015432,0.022498,0.017214,0.009025,0.023703,0.022196,0.023564,0.038771,0.010599,0.029851,0.016553,0.004828,0.008030,Silence
0.040577,0.106854,3.201899,0.180189,0.226378,0.389879,0.003969,0.044211,-23.466352,1.770794,-0.257765,0.608707,0.451374,0.408502,0.190979,0.143131,0.353869,0.079337,0.000564,0.014079,0.143674,0.002322,0.001237,0.031118,0.002692,0.005662,0.000966,0.307357,0.000759,0.001287,0.002438,0.057321,0.001195,0.085068,0.029964,0.081496,0.043968,0.032143,0.014503,0.297384,0.001446,0.050823,0.750745,0.328138,0.326622,0.256268,0.200537,0.121406,0.150756,0.164758,0.127685,0.134944,0.148686,0.176846,0.155524,0.001974,0.001676,0.010770,0.002133,0.003326,0.000810,0.061727,0.001075,0.001130,0.001736,0.038298,0.001595,0.015671,Silence
0.143523,0.004412,3.154530,0.236800,0.227396,1.317627,0.005678,0.222000,-27.463922,1.255716,-1.110449,0.173156,0.196775,0.111655,0.152322,0.033446,0.118666,-0.014564,-0.075546,-0.044580,0.070183,0.011608,0.005702,0.051151,0.019000,0.011230,0.007570,0.021614,0.005298,0.004363,0.018131,0.032086,0.007557,0.020757,0.044570,0.006491,0.122831,0.047086,0.029028,0.446521,0.003874,0.125892,1.417903,0.517574,0.510686,0.428762,0.300149,0.239108,0.207176,0.215813,0.173477,0.172789,0.194167,0.169005,0.141074,0.014341,0.004737,0.040433,0.015851,0.008081,0.008569,0.014052,0.004881,0.002671,0.017734,0.022016,0.007902,0.012222,Silence
0.123905,0.050562,3.254613,0.225558,0.221336,1.400158,0.000000,0.182500,-21.546756,1.107610,-1.018154,0.406619,0.451008,0.286408,0.252883,0.130570,0.294106,-0.030339,-0.019711,-0.029276,-0.045134,0.003851,0.001635,0.033920,0.017123,0.002360,0.004780,0.153364,0.008716,0.007540,0.019116,0.011976,0.003572,0.040498,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Silence
0.194153,0.008396,3.244276,0.275041,0.231116,1.919586,0.002738,0.355761,-24.016238,0.855820,-0.939185,0.292033,0.379937,0.193821,0.077660,0.001370,0.214632,-0.024600,-0.033150,-0.079178,0.171173,0.010518,0.005526,0.018972,0.015317,0.008321,0.005728,0.015277,0.006577,0.005326,0.018417,0.032960,0.007241,0.011004,0.036558,0.005536,0.046318,0.028680,0.013627,0.237577,0.000594,0.104149,0.437681,0.319917,0.182751,0.148500,0.192690,0.172837,0.152156,0.140284,0.145904,0.139236,0.136637,0.131970,0.141325,0.007929,0.003705,0.009617,0.007220,0.004393,0.003210,0.009010,0.006191,0.002775,0.012627,0.017495,0.005813,0.003838,Silence
0.123717,0.028238,3.198517,0.207669,0.207462,1.157250,0.005866,0.176875,-24.691198,1.759918,-0.991814,0.003657,-0.111586,0.198312,0.188609,-0.094247,0.119763,-0.120057,-0.163949,0.023880,0.142622,0.006797,0.012681,0.027845,0.026527,0.013137,0.028337,0.020431,0.005419,0.005296,0.016252,0.021211,0.005182,0.016596,0.036759,0.051585,0.090095,0.040452,0.023722,0.522346,0.005707,0.073092,1.601025,0.570668,0.329489,0.386191,0.576655,0.214629,0.300486,0.196671,0.168503,0.150216,0.184435,0.169040,0.142813,0.004562,0.020678,0.022745,0.013909,0.012993,0.039453,0.010166,0.004105,0.004068,0.007572,0.013759,0.003493,0.007992,Silence
0.138715,0.056190,3.250533,0.231648,0.222843,1.527485,0.002650,0.211667,-21.063207,1.374678,-0.895614,0.334619,0.293307,0.312860,-0.037063,0.083547,0.070206,-0.273529,-0.147234,-0.164872,0.181904,0.012876,0.011195,0.043561,0.020782,0.009153,0.006908,0.026375,0.006428,0.003042,0.011242,0.033471,0.005423,0.015036,0.026048,0.011387,0.051597,0.011992,0.006960,0.208152,0.001283,0.047229,0.336529,0.410047,0.101022,0.170725,0.108396,0.172212,0.123918,0.134011,0.137929,0.129760,0.076662,0.140488,0.151406,0.007736,0.012091,0.019274,0.007767,0.004377,0.002763,0.012818,0.003536,0.000923,0.006250,0.015802,0.003710,0.003656,Silence
